GuideBox_sm_id,GuideBox_id,Rovi_id,Rovi_SM_id,Scheme,episode_title,ozoneepisodetitle,OzoneOriginalEpisodeTitle,projectx_id_rovi,projectx_id_GuideBox,Dev_GuideBox_px_mapped,Dev_rovi_px_mapped,another_rovi_id_present,another_GuideBox_id_present,series_id_match,Px_series_id,Episode mapping,Comment
14749,1284149,1226396195,22023391, 'Exact sequence & title match',The Princess Stays in the Picture, 'The Princess Stays in the Picture',|['The Princess Stays in the Picture',3341934,3341934,,,,,,,Pass,Pass
14749,8004179,5653720340,22023391, 'Exact sequence & title match',In Cedric We Trust, 'In Cedric We Trust',|['In Cedric We Trust',3349428,3349428,,,,,,,Pass,Pass
14749,7612975,5187232349,22023391, 'Exact sequence & title match',Ivy's True Colors," ""Ivy's True Colors""","|[""Ivy's True Colors""",3348878,3348878,,,,,,,Pass,Pass
14749,401915,552614801,22023391, 'Exact sequence & title match',Finding Clover, 'Finding Clover',|['Finding Clover',3339240,3339240,,,,,,,Pass,Pass
14749,4263910,3274451091,22023391, 'title match only',The Floating Palace (Part 2), 'The Floating Palace',|['The Floating Palace',3342668,13402427,[{'sourceId': '4263910'}],"[{'rovi_projectx_id_mapped': 'rovi_id:3274451091,Map_reason:not found in projectx'}]",,,True,[3327119],Fail,Fail
14749,808451,1144497413,22023391, 'sequence & title match',Princesses to the Rescue, 'Princesses to the Rescue!',|['Princesses to the Rescue!',3331390,3331390,,,,,,,Pass,Pass
14749,7664187,5300602576,22023391, 'Exact sequence & title match',Too Cute to Spook, 'Too Cute to Spook',|['Too Cute to Spook',3348980,3348980,,,,,,,Pass,Pass
14749,803411,1144497410,22023391, 'Exact sequence & title match',Sofia the Second, 'Sofia the Second',|['Sofia the Second',3331116,3331116,,,,,,,Pass,Pass
14749,1691809,1284874865,22023391, 'sequence & title match',The Curse of Princess Ivy (Parts 1 & 2), 'The Curse of Princess Ivy',|['The Curse of Princess Ivy',3334558,13402304,[{'sourceId': '1691809'}],"[{'rovi_projectx_id_mapped': 'rovi_id:1284874865,Map_reason:not found in projectx'}]",,,True,[3327119],Fail,Fail
14749,793737,1109479100,22023391, 'Exact sequence & title match',Gizmo Gwen, 'Gizmo Gwen',|['Gizmo Gwen',3337076,3337076,,,,,,,Pass,Pass
14749,7502615,5151179182,22023391, 'Exact sequence & title match',Princess Jade, 'Princess Jade',|['Princess Jade',3348680,3348680,,,,,,,Pass,Pass
14749,6017302,4063000145,22023391, 'Exact sequence & title match',Cauldronation Day, 'Cauldronation Day',|['Cauldronation Day',3344922,3344922,,,,,,,Pass,Pass
14749,4774273,1956528990,22023391, 'Exact sequence & title match',Sofia in Elvenmoor, 'Sofia in Elvenmoor',|['Sofia in Elvenmoor',3336550,3336550,,,,,,,Pass,Pass
14749,512396,964734194,22023391, 'sequence & title match',Two Princesses and a Baby, 'Two Princesses and Baby',|['Two Princesses and Baby',3339757,3339757,,,,,,,Pass,Pass
14749,1236346,1202091540,22023391, 'Exact sequence & title match',Ghostly Gala, 'Ghostly Gala',|['Ghostly Gala',3331543,3331543,,,,,,,Pass,Pass
14749,3555306,1424355751,22023391, 'Exact sequence & title match',Clover Time, 'Clover Time',|['Clover Time',3340784,3340784,,,,,,,Pass,Pass
14749,8350822,5913954122,22023391, 'title match only',The Royal School Fair, 'The Royal School Fair',|['The Royal School Fair',3349647,3349647,,,,,,,Pass,Pass
14749,478534,1068947770,22023391, 'Exact sequence & title match',King for a Day, 'King for a Day',|['King for a Day',3341642,3341642,,,,,,,Pass,Pass
14749,478533,987766273,22023391, 'Exact sequence & title match',The Enchanted Feast, 'The Enchanted Feast',|['The Enchanted Feast',3340297,3340297,,,,,,,Pass,Pass
14749,6057989,4127774668,22023391, 'Exact sequence & title match',Camp Wilderwood, 'Camp Wilderwood',|['Camp Wilderwood',3345152,3345152,,,,,,,Pass,Pass
14749,464372,3274451091,22023391, 'title match only',The Floating Palace (Parts 1 & 2), 'The Floating Palace',|['The Floating Palace',3342668,13402388,[{'sourceId': '464372'}],"[{'rovi_projectx_id_mapped': 'rovi_id:3274451091,Map_reason:not found in projectx'}]",,,True,[3327119],Fail,Fail
14749,372362,468396122,22023391, 'Exact sequence & title match',The Princess Test, 'The Princess Test',|['The Princess Test',3334867,3334867,,,,,,,Pass,Pass
14749,5229922,3290396262,22023391, 'Exact sequence & title match',The Secret Library: Olaf and the Tale of Miss Nettle, 'The Secret Library: Olaf and the Tale of Miss Nettle',|['The Secret Library: Olaf and the Tale of Miss Nettle',3342794,3342794,,,,,,,Pass,Pass
14749,808449,1144497409,22023391, 'Exact sequence & title match',Mystic Meadows, 'Mystic Meadows',|['Mystic Meadows',3335618,3335618,,,,,,,Pass,Pass
14749,372363,468396113,22023391, 'Exact sequence & title match',Baileywick's Day Off," ""Baileywick's Day Off""","|[""Baileywick's Day Off""",3328748,3328748,,,,,,,Pass,Pass
14749,367705,369891732,22023391, 'Exact sequence & title match',The Big Sleepover, 'The Big Sleepover',|['The Big Sleepover',3338834,3338834,,,,,,,Pass,Pass
14749,367704,369891749,22023391, 'Exact sequence & title match',Let the Good Times Troll, 'Let the Good Times Troll',|['Let the Good Times Troll',3327904,3327904,,,,,,,Pass,Pass
14749,396122,517320928,22023391, 'Exact sequence & title match',The Little Witch, 'The Little Witch',|['The Little Witch',3339133,3339133,,,,,,,Pass,Pass
14749,464371,776498441,22023391, 'Exact sequence & title match',The Baker King, 'The Baker King',|['The Baker King',3330434,3330434,,,,,,,Pass,Pass
14749,478530,939136851,22023391, 'Exact sequence & title match',Four's a Crowd," ""Four's a Crowd""","|[""Four's a Crowd""",3330735,3330735,,,,,,,Pass,Pass
14749,425056,644123735,22023391, 'Exact sequence & title match',Make Way for Miss Nettle, 'Make Way for Miss Nettle',|['Make Way for Miss Nettle',3336613,3336613,,,,,,,Pass,Pass
14749,478535,1031352913,22023391, 'sequence & title match',The Enchanted Science Fair, 'Enchanted Science Fair',|['Enchanted Science Fair',3335330,3335330,,,,,,,Pass,Pass
14749,5314051,3354319157,22023391, 'Exact sequence & title match',Bad Little Dragon, 'Bad Little Dragon',|['Bad Little Dragon',3343199,3343199,,,,,,,Pass,Pass
14749,367703,373852492,22023391, 'Exact sequence & title match',Cedric's Apprentice," ""Cedric's Apprentice""","|[""Cedric's Apprentice""",3333679,3333679,,,,,,,Pass,Pass
14749,367706,369891684,22023391, 'Exact sequence & title match',Just One of the Princes, 'Just One of the Princes',|['Just One of the Princes',3341525,3341525,,,,,,,Pass,Pass
14749,7293122,4860204670,22023391, 'Exact sequence & title match',The Mystic Isles: The Princess and the Protector, 'The Mystic Isles: The Princess and the Protector',|['The Mystic Isles: The Princess and the Protector',3348054,3348054,,,,,,,Pass,Pass
14749,4774274,1995248450,22023391, 'Exact sequence & title match',Stormy Lani, 'Stormy Lani',|['Stormy Lani',3337938,3337938,,,,,,,Pass,Pass
14749,367702,373852483,22023391, 'Exact sequence & title match',A Royal Mess, 'A Royal Mess',|['A Royal Mess',3328138,3328138,,,,,,,Pass,Pass
14749,8358033,5913954118,22023391, 'title match only',Return to Merroway Cove, 'Return to Merroway Cove',|['Return to Merroway Cove',3349595,3349595,,,,,,,Pass,Pass
14749,389557,517320937,22023391, 'Exact sequence & title match',Tri-Kingdom Picnic, 'Tri-Kingdom Picnic',|['Tri-Kingdom Picnic',3329013,3329013,,,,,,,Pass,Pass
14749,7409521,5024373979,22023391, 'Exact sequence & title match',The Mystic Isles: The Mare of the Mist, 'The Mystic Isles: The Mare of the Mist',|['The Mystic Isles: The Mare of the Mist',3348336,3348336,,,,,,,Pass,Pass
14749,478532,987766272,22023391, 'Exact sequence & title match',Mom's the Word," ""Mom's the Word""","|[""Mom's the Word""",3340107,3340107,,,,,,,Pass,Pass
14749,367700,430655397,22023391, 'Exact sequence & title match',Blue Ribbon Bunny, 'Blue Ribbon Bunny',|['Blue Ribbon Bunny',3328478,3328478,,,,,,,Pass,Pass
14749,367701,373852506,22023391, 'Exact sequence & title match',The Shy Princess, 'The Shy Princess',|['The Shy Princess',3328387,3328387,,,,,,,Pass,Pass
14749,5233698,1897268717,22023391, 'Exact sequence & title match',The Secret Library, 'The Secret Library',|['The Secret Library',3342221,3342221,,,,,,,Pass,Pass
14749,8361832,6062276421,22023391, 'Exact sequence & title match',The Elf Situation, 'The Elf Situation',|['The Elf Situation',3349691,3349691,,,,,,,Pass,Pass
