Projectx Id 1,Projectx ID 2,Series Title,Episode Title,Status
13222121,10283356,Rachel Dratch's Late Night Snack,The First Course,
13696361,11569952,Ramy,Between the Toes,
13378578,3827334,Rat Busters NYC,It's Raining Rats,
13103968,7679201,Real Vice: Miami,The Bloodiest Day,
13211043,3402033,Rehab With Dr. Drew,Intake,
13084175,3954672,Retribution,The Storm,
13697247,11357223,Rilakkuma and Kaoru,Cherry Blossom,
13489970,3289275,Ringer,Pilot,
13350438,8826632,Riot,Steve Carell and Andy Buckley,
4680266,3914097,Riviera,Villa Carmella,
13498545,12379092,Robert Durst: An ID Murder Mystery,Bobby's Girls,
13187011,11651125,Robot Wars,First Blood,
13075960,11482386,Rocky Mountain Animal Rescue,Duck and Cover,
13390644,8787605,Roman,A Lavish Banquet of Raining Coins!,
12958160,11503256,Romper Stomper,Arrival,
11351824,4178633,Roseanne,Life and Stuff,
13413433,2790027,Rosemary & Thyme,And No Birds Sing,
13219697,3758336,Rush Hour,Pilot,
13157319,9428545,Saints & Sinners,Power Is Our Religion,
13115958,12957260,Save Me,Episode 1,
13088873,3385918,Save with Jamie,Beef,
13488042,4082820,Saved by the Bell: The New Class,The Date Lottery,
13397853,7498575,Secret Millionaires Club,Be Cool To Your School,
6385482,4022033,Sense and Sensibility,Episode 1,
10100351,5280880,Sensing Murder,The Patient Killer,
13391486,8385553,Servant x Service,Be Careful About How You Refer to Someone and Why,
13332703,3719542,Sex in the Wild,Elephants,
13490841,13470943,Shadow,Mary's Blackmail,
13265622,3407168,Shaun Ryder on UFOs,Caught On Tape,
13235789,10020057,She Was Pretty,Episode 1,
13393989,8466903,Shining Hearts,Welcome to Le Coeur,
13405835,8787509,Shinobi Girl,Some Kind of Superhero,
13349649,8816393,Short Poppies,Terry Pole,
13119052,11188684,Signed,Shoot Your Shot,
13249080,7281669,Significant Mother,Welcome to Bonetown,
11637552,8505856,Silver Spoon,Episode 1,
13393140,8505856,Silver Spoon,Welcome to Ezonoo,
12950012,9102819,Sing It On,Auditions,
13020107,10168373,Sinkholes: Swallowed Alive,Florida Hell Hole,
13419430,2996033,Sister Wives,Meet Kody & the Wives,
7276772,3607313,Skins,Tony,
13208161,2749890,Smart Guy,Pilot,
13027569,13027568,Snow Bears & Snow Babies,Snow Bears,
13376729,8787340,Sound Advice,FUN,
13405069,7651690,Spartacus: Blood and Sand - Motion Comic,Upon the Sands of Vengeance,
13674098,12925924,Special,Chapter One: Cerebral LOLzy,
13428538,8212565,Star Driver,The Ginga Bishonen,
13108808,13107093,Starhill Ponies,Scruffy Helps Out,
13123712,3894850,Storage Wars: Northern Treasures,Northern Lights,
13222978,11033304,Street Food,Bangkok,
13144524,12525512,Strike the Blood,The Right Arm of the Saint I,
13217098,10315287,Submission,Slave,
13390039,8784385,Sunday Without God,Valley of Death I,
13694272,13601040,Superstructures: Engineering Marvels,Space Station,
13423612,8367921,Suzuka,Anticipation,
13235205,3696938,Sydney Sailboat,Running on Empty,
13549024,12930580,Tacoma FD,On the Hot Seat,
5251265,2834616,Teachers,Pilot,
13702961,13657315,Teen Mom: Young Moms Club,On the Fence,
13118380,3906100,Teen Mum,Life as a Teen Mum,
13524118,12365669,The Act,La Maison du Bon Reve,
13383626,8509005,The Adventures of One eskimO,Chapter 1: Lost Love,
13113035,10226758,The Age of Aerospace,What Can't We Do?,
13550100,13528086,The American Farm,Betting the Farm,
13409523,4073194,The Animatrix,Final Flight Of The Osiris,
13528082,13508350,The Atlanta Child Murders,Into the Woods,
4318269,3032243,The Closer,Pilot,
13655948,11572536,The Code,Blowed Up,
10397259,3952190,The Disappearance,Episode 1,
13369763,4036923,The Doris Day Show,Dinner for Mom,
13384324,8777257,The Everyday Tales of a Cat God,God of Poverty Inspection+,
13696364,11206813,The Face of Evil,Seeds of Death,
13253123,9422414,The Fighting Season,The Taliban Attack,
12957617,11762702,The First 48 Presents: Homicide Squad Atlanta,Fallen Angel,
13306874,13208531,The Flightline,Snowbirds,
13369351,4288954,The Flying Nun,The Flying Nun,
13404957,7923143,The Front Desk,Triplets,
13387125,4916552,The Hoobs,Finding Out,
12956027,12955913,The Ice House,Episode 1,
13696383,11471842,The Kominsky Method,Chapter 1: An Actor Avoids,
13231390,3747110,The Lion Guard,Never Judge a Hyena by Its Spots,
13338427,8072634,The Lizzie Bennet Diaries,My Name is Lizzie Bennet,
13441500,3017806,The Locator,A Brother's Story,
13210340,3781115,The Making of the Mob,The Education of Lucky Luciano,
13267064,6246854,The Memoirs of Sherlock Holmes,The Three Gables,
13066490,3978709,The Mighty Northwest,Golden Coast,
13408320,10110857,The Mothers-In-Law,On Again,
13419025,7365023,The Next Big Thing: NY,Showtime at the Apollo!,
10021496,2819197,The Office,Pilot,
13323608,9513362,The P.E.T. Squad Files,Pilot,
13400742,3141819,The Pillars of the Earth,Anarchy,
13316053,9091999,The Pilot's Love Song,Island of New Journeys,
3609611,3216632,The Prisoner,Arrival,
13019446,7326693,The Protector,Pilot,
12998211,3409982,The Real Story,The Untouchables,
13019038,3469940,The Ren & Stimpy Show,Stimpy's Big Day,
8875614,8254381,The Returned,Camille,
13270876,6298364,The Royal,First Impressions,
13489843,3351767,The Secret Circle,Pilot,
13102612,11316368,The Secret World of Posh Pets,Lifestyles of the Rich & Furry,
13395728,8368383,The Severing Crime Edge,The Sleeping Princess,
13409641,7942565,The Shores,Opportunity Knocks,
3897551,3763479,The Slap,Hector,
13770328,11528783,The Spanish Princess,The New World,
13326067,3312083,The Staircase,Crime or Accident?,
13416911,3330727,The Straits,The Proposition,
13021362,12929383,The Toe Bro,Toezilla,
13417307,8359580,The Underdogs,Episode 1,
13085152,11492219,The Vet Life: Extreme Animal Encounters,Miracle Puppies,
13524536,11576225,The Village,Pilot,
13015754,4509781,The Wonderful Wizard of Oz,Dorothy Meets the Munchkins,
13123140,9458137,The Woodlies,Ugly Invasion,
13445439,11728292,The World's Best,The Auditions Season Premiere,
13023289,11567153,Tigtone,Tigtone and His Fellowship Of,
13646458,13638560,Tijuana,The Candidate,
13527979,11049972,Titans,Titans,
11673125,8766042,To Catch a Killer,All Hands on Deck,
13488947,2732652,Touched by an Angel,The Southbound Bus,
13085525,11475977,Trackers,Firework Frenzy,
13387193,3250740,Trashopolis,London,
13426178,8260821,Tree With Deep Roots,Episode 1,
13125345,11035504,Truth & Iliza,Well,
13129903,10981986,Twiz & Tuck,Pursuit of Happiness,
13122075,11105792,UFOs: Uncovering the Truth,Area 52,
13011578,2982593,Ultimate Factories,Ferrari,
13430755,7626991,Un-Go,The Murder at the Ball,
13349293,3673346,Undateable,Pilot,
13181120,3881538,Undercover,Episode 1,
13113634,3956424,Undercover High,Would You Go Back?,
12950529,3991976,Unplugged Nation,Hawaiian Dream,
13607496,11513173,Unspeakable,Emergence,
13327631,8955174,Urban Jungle,Downtown,
13094463,11389595,Vacation Rental Potential,Jersey Shore,
7998641,4036243,Vanity Fair,Episode 1,
13490863,13460258,Victor and Valentino,Folk Art Foes,
13406741,8218436,Vividred Operation,First Operation,
13399675,8936519,VocabuLarry,Language Fun,
13208750,4127019,Wait Till Your Father Gets Home,The Fling,
13489583,2803510,Walking the Bible,Go Forth: From Creation to Abraham,
10333239,2965960,Wanted,Chelsea and Lola,
13380695,7813008,Warped Roadies,Salt Lake City,
13096056,11388277,Wasteland,Wasteland 01,
13386972,2932230,We Can Be Heroes,Episode 1,
11203575,4055370,We'll Meet Again,Children of WWII,
13364281,7385334,Webster,Another Ballgame,
13269734,8875250,Weird Loners,Weird Pilot,
13030207,11571484,What We Do in the Shadows,Pilot,
13024262,9398770,Wild Arctic,Islands of Ice and Fire,
13057067,11127070,Wild Bear Rescue,A Cub With A Kick,
13072030,3280559,Wild Russia,Kamchatka,
13043451,11644205,Wild South West,Bat-Nado,
13400464,3294149,Witness,Juárez,
4277933,3228254,Wonders of the Universe,Destiny,
13266805,3206218,World's Most Dangerous Roads,Alaska,
13290642,3702396,Yankee Jungle,The Big Thaw,
13230916,10145210,Year in Fashion,1985,
13043928,11647568,Yellowstone Live,Inside the Supervolcano,
13322538,8873154,Yowamushi Pedal,Because I Can Go to Akiba for Free,
10408719,2833241,Yu-Gi-Oh! 5D's,On Your Mark,
13300834,9244907,Z/X Ignition,Phase 1,
3673050,2861282,Zero Hour,Disaster at Chernobyl,
