GuideBox_sm_id,Rovi_sm_id,projectx_id_rovi,projectx_id_GuideBox,Dev_GuideBox_px_mapped,Dev_rovi_px_mapped,another_rovi_id_present,another_GuideBox_id_present,variant_present,Comment,Result of mapping series
2971,8748803,3090203,3090203,,,,,,Pass,Pass
16544,370191497,3319083,3319083,,,,,,Pass,Pass
10616,363467,4148162,4148162,,,,,,Pass,Pass
31922,1195511961,3811027,3811027,,,,,,Pass,Pass
10135,17958793,3123943,3123943,,,,,,Pass,Pass
13835,66223003,3376218,3376218,,,,,,Pass,Pass
486,2177521,2813835,2813835,,,,,,Pass,Pass
1984,2491199,3706924,3706924,,,,,,Pass,Pass
28881,1481131870,9376237,9376237,,,,,,Pass,Pass
17054,783045674,3414316,3414316,,,,,,Pass,Pass
37462,3444215943,10335941,10335941,,,,,,Pass,Pass
12450,22430458,7657389,7657389,,,,,,Pass,Pass
15358,431831407,3354608,3354608,,,,,,Pass,Pass
9040,10003652,5511858,5511858,,,,,,Pass,Pass
29383,1441659452,9338000,9338000,,,,,,Pass,Pass
37555,3639766913,10420333,10420333,,,,,,Pass,Pass
631,2486672,3090397,3090397,,,,,,Pass,Pass
4475,2196716,5358863,5358863,,,,,,Pass,Pass
38741,3981993541,3878861,3878861,,,,,,Pass,Pass
2855,2223685,2816825,2816825,,,,,,Pass,Pass
2588,17664465,3650176,3650176,,,,,,Pass,Pass
37570,430511,2755677,2755677,,,,,,Pass,Pass
11056,673995,4514879,4514879,,,,,,Pass,Pass
9032,17972862,3324428,3324428,,,,,,Pass,Pass
12796,66693932,7771519,7771519,,,,,,Pass,Pass
9816,273454,4108975,4108975,,,,,,Pass,Pass
2156,398424,4160088,4160088,,,,,,Pass,Pass
42836,3259834603,10241415,10241415,,,,,,Pass,Pass
11788,19150499,7112153,7112153,,,,,,Pass,Pass
15894,268617,4103950,4103950,,,,,,Pass,Pass
18552,929142502,8720852,8720852,,,,,,Pass,Pass
22407,1208841343,9052693,9052693,,,,,,Pass,Pass
20272,1236156,4864998,4864998,,,,,,Pass,Pass
10070,15077953,6876866,6876866,,,,,,Pass,Pass
14683,324088292,7977896,7977896,,,,,,Pass,Pass
37459,19955129,5239153,5239153,,,,,,Pass,Pass
17395,325148144,3298913,3298913,,,,,,Pass,Pass
37829,3452565488,3840151,3840151,,,,,,Pass,Pass
21713,952739465,10102790,10102790,,,,,,Pass,Pass
2124,1107525,2772039,2772039,,,,,,Pass,Pass
2532,2426544,2886920,2886920,,,,,,Pass,Pass
25118,1362417580,9269842,9269842,,,,,,Pass,Pass
19453,22422962,7653291,7653291,,,,,,Pass,Pass
21808,858947,3483378,3483378,,,,,,Pass,Pass
24062,1183532604,9018390,9018390,,,,,,Pass,Pass
35061,1533203629,9420475,9420475,,,,,,Pass,Pass
14527,342457827,8022274,8022274,,,,,,Pass,Pass
10442,2420877,5446310,5446310,,,,,,Pass,Pass
16697,2306711,2816738,2816738,,,,,,Pass,Pass
21578,228252,4066177,4066177,,,,,,Pass,Pass
14614,317880684,3303346,3303346,,,,,,Pass,Pass
12746,22582877,7697048,8782671,"[{'8782671': 'rovi_id:961201755,Map_reason:not found in projectx'}, {'source_id': '12746,Map_reason:{""color"":0.0,""language"":1.0,""credits"":0.0,""directors"":0.0,""part_names"":0.0,""episode_titles"":0.8636363636,""genres"":1.0,""amazon"":0.0,""netflix"":0.0,""hulu"":0.0,""hbo"":0.0,""showtime"":0.0,""vudu"":0.0,""episode_airdates"":0.0,""season_count"":0.0,""genres_missing"":0.0,""credits_missing"":1.0,""directors_missing"":1.0,""part_names_missing"":1.0,""release_year"":0.0,""run_time"":0.0,""release_year_diff"":0.0,""release_year_missing"":1.0,""run_time_diff"":5340.0,""run_time_missing"":0.0,""levenshtein_titles"":0.5333333333,""cosine_titles"":0.7706746356,""partial_titles"":1.0,""score"":3.1676443326}'}]","[{'7697048': 'rovi_id:22582877,Map_reason:not found in projectx'}]",True,,False,Fail,Fail
37772,3654208535,3796401,3796401,,,,,,Pass,Pass
43700,4803518387,11060401,11060401,,,,,,Pass,Pass
17847,958623538,8777632,8777632,,,,,,Pass,Pass
1982,757505629,8503882,8503882,,,,,,Pass,Pass
764,19093370,3089516,3089516,,,,,,Pass,Pass
10506,370219,4151686,4151686,,,,,,Pass,Pass
17291,371974215,3348025,3348025,,,,,,Pass,Pass
847,394636,4159111,4159111,,,,,,Pass,Pass
8171,19223698,3259774,3259774,,,,,,Pass,Pass
2091,345653,4144605,4144605,,,,,,Pass,Pass
15309,468484514,3378310,3378310,,,,,,Pass,Pass
13074,556694309,8241664,8241664,,,,,,Pass,Pass
33700,1724095699,10018066,10018066,,,,,,Pass,Pass
17040,819383069,3696524,3696524,,,,,,Pass,Pass
11744,366673,4149995,4149995,,,,,,Pass,Pass
8192,9555959,5506941,5506941,,,,,,Pass,Pass
41787,3248900149,10235291,10235291,,,,,,Pass,Pass
16253,382857762,3476352,3476352,,,,,,Pass,Pass
14776,22468002,3290457,3290457,,,,,,Pass,Pass
