GuideBox_id,Rovi_id,movie_name,release_year,projectx_id_rovi,projectx_id_GuideBox,Dev_GuideBox_px_mapped,Dev_rovi_px_mapped,another_rovi_id_present,another_GuideBox_id_present,variant_present,Comment,Result of mapping
111003,26306,The Drifter,1932,507726,507726,,,,,,Pass,Pass
111008,1062846,Marius,1931,579044,579044,,,,,,Pass,Pass
111014,1079409,Whoopee!,1930,588116,588116,,,,,,Pass,Pass
111038,15866,Chicago,1927,505257,505257,,,,,,Pass,Pass
111048,179296,Bromo and Juliet,1926,1108026,1108026,,,,,,Pass,Pass
111066,1067780,Arizona Colt,1966,581797,581797,,,,,,Pass,Pass
111138,1055831,Brides of Sulu,1937,575289,575289,,,,,,Pass,Pass
111142,1056589,C茅sar,1936,575707,575707,,,,,,Pass,Pass
111247,1089886,When a Man's a Man,1935,593009,593009,,,,,,Pass,Pass
111527,1146334385,What Other Couples Do,2013,270055,270055,,,,,,Pass,Pass
112636,1057536,Dixie Jamboree,1944,576197,576197,,,,,,Pass,Pass
112653,742547580,Mortdecai,2015,125480,125480,,,,,,Pass,Pass
112655,1524065520,Senior Project,2015,154491,154491,,,,,,Pass,Pass
112659,12261057,Interstellar,2014,106527,106527,,,,,,Pass,Pass
112660,865745450,The Better Angels,2014,846866,846866,,,,,,Pass,Pass
112662,865745877,Song One,2015,152065,152065,,,,,,Pass,Pass
112664,982928500,Manny,2014,151237,151237,,,,,,Pass,Pass
112666,960350970,Water & Power,2014,129213,129213,,,,,,Pass,Pass
112669,1046930723,Everly,2015,143618,143618,,,,,,Pass,Pass
112670,944641059,2047: Sights of Death,2014,124155,124155,,,,,,Pass,Pass
112671,1128271012,Happy New Year,2014,129242,129242,,,,,,Pass,Pass
112672,1197169453,Cake,2014,137288,137288,,,,,,Pass,Pass
112673,1257024167,Fear Clinic,2014,148516,148516,,,,,,Pass,Pass
112674,1179525247,Standby,2014,884788,884788,,,,,,Pass,Pass
112675,1033616519,Beyond,2014,857387,857387,,,,,,Pass,Pass
112677,1188090975,Warren,2014,1072225,1072225,,,,,,Pass,Pass
112681,1046904261,The Disappearance of Eleanor Rigby: Them,2014,119851,119851,,,,,,Pass,Pass
112684,669401031,Tracks,2014,123318,123318,,,,,,Pass,Pass
112686,805536000,American Mustang,2013,842075,842075,,,,,,Pass,Pass
112688,22450522,Material,2012,784007,784007,,,,,,Pass,Pass
112689,677380555,Silent Youth,2012,146864,146864,,,,,,Pass,Pass
112700,1066099,Jour de F锚te,1949,147070,147070,,,,,,Pass,Pass
112719,865745723,Killers,2014,846911,846911,,,,,,Pass,Pass
112738,4001237918,The Music Box,1932,985742,985742,,,,,,Pass,Pass
112793,1077340,Tornado,1943,586978,586978,,,,,,Pass,Pass
112910,51420,Black Stallion,1938,126068,126068,,,,,,Pass,Pass
112912,1054740,The Capture of Bigfoot,1979,574673,574673,,,,,,Pass,Pass
112940,1618509204,All She Wishes,2015,140959,140959,,,,,,Pass,Pass
112960,20015286,Cherkess,2011,771984,771984,,,,,,Pass,Pass
113015,456636,Joyride,1997,6310,6310,,,,,,Pass,Pass
113024,1362415908,Lola's Love Shack,2013,883929,883929,,,,,,Pass,Pass
113025,1253043382,Lovesick,2014,871398,871398,,,,,,Pass,Pass
113027,1435226502,The Master,2017,891084,891084,,,,,,Pass,Pass
113034,1434004800,Zoey to the Max,2015,891014,891014,,,,,,Pass,Pass
113069,1073788802,Boy Meets Girl,2015,860312,860312,,,,,,Pass,Pass
113147,552604592,My Last Day Without You,2011,117505,117505,,,,,,Pass,Pass
113162,865332518,Roulette,2012,846824,846824,,,,,,Pass,Pass
113194,422983,The Grave,1996,566888,566888,,,,,,Pass,Pass
113235,998214239,Hector and the Search for Happiness,2014,125942,125942,,,,,,Pass,Pass
113237,1197169545,Amira & Sam,2014,868075,868075,,,,,,Pass,Pass
113238,739069824,Addicted,2014,125631,125631,,,,,,Pass,Pass
113239,1206650813,Escobar: Paradise Lost,2014,124749,124749,,,,,,Pass,Pass
113240,814393136,The Remaining,2014,151471,151471,,,,,,Pass,Pass
113241,1198762913,October Gale,2014,868321,868321,,,,,,Pass,Pass
