GuideBox_id,Rovi_id,movie_name,release_year,projectx_id_rovi,projectx_id_GuideBox,Dev_GuideBox_px_mapped,Dev_rovi_px_mapped,another_rovi_id_present,another_GuideBox_id_present,variant_present,Comment,Result of mapping,hulu_id_present,vudu_id_present
20,1190138,That's the Way I Like It,1998,602071,602071,,,,,,Pass,Pass,,
23,1182555,Project A,1983,75483,520613,"[{'520613': 'rovi_id:76371,Map_reason:{""titleMapType"":""Exact"",""titleScore"":1.0,""releaseDateMatch"":true,""airDateMatch"":false,""ottMatch"":0.0,""creditCount"":228,""totalScore"":0.0,""LanguageMatch"":true,""creditWeight"":0.5}'}, {'source_id': '23'}]","[{'75483': 'rovi_id:1182555,Map_reason:{""titleMapType"":""Distance"",""titleScore"":0.8888888888888888,""releaseDateMatch"":false,""airDateMatch"":false,""ottMatch"":0.0,""creditCount"":14,""totalScore"":0.0,""LanguageMatch"":true,""creditWeight"":0.5}'}, {'vudu_id': '26109'}]",TRUE,,FALSE,Fail,Fail,FALSE,TRUE
24,1178258,Music of the Heart,1999,63029,63029,,,,,,Pass,Pass,,
25,1162601,The Muse,1999,54805,54805,,,,,,Pass,Pass,,
27,1233436,Waking the Dead,2000,12259476,12259476,,,,,,Pass,Pass,,
29,1162925,Joe the King,1999,57162,57162,,,,,,Pass,Pass,,
30,1153230,Runaway Bride,1999,61260,61260,,,,,,Pass,Pass,,
31,1178236,Bringing Out the Dead,1999,67736,67736,,,,,,Pass,Pass,,
32,1443051,Eaten Alive,1976,72141,582199,"[{'582199': 'rovi_id:1068575,Map_reason:{""titleMapType"":""Exact"",""titleScore"":1.0,""releaseDateMatch"":true,""airDateMatch"":false,""ottMatch"":0.0,""creditCount"":29,""totalScore"":0.0,""LanguageMatch"":false,""creditWeight"":0.5}'}, {'source_id': '32'}]","[{'72141': 'rovi_id:1443051,Map_reason:{""titleMapType"":""Distance"",""titleScore"":0.8181818181818181,""releaseDateMatch"":false,""airDateMatch"":false,""ottMatch"":0.0,""creditCount"":50,""totalScore"":0.0,""LanguageMatch"":true,""creditWeight"":0.5}'}]",TRUE,,FALSE,Fail,Fail,FALSE,FALSE
34,1160476,K-911,1999,3636,3636,,,,,,Pass,Pass,,
35,1170088,For Love of the Game,1999,59143,59143,,,,,,Pass,Pass,,
39,1172708,Grey Owl,1999,4050,4050,,,,,,Pass,Pass,,
40,1175082,The Prophecy 3: The Ascent,2000,7450,7450,,,,,,Pass,Pass,,
41,1096307,The Big Brass Ring,1999,23152,23152,,,,,,Pass,Pass,,
47,1178271,The World Is Not Enough,1999,59511,59511,,,,,,Pass,Pass,,
48,472425,Next Stop Wonderland,1998,60926,60926,,,,,,Pass,Pass,,
49,1170135,Superstar,1999,96399,96399,,,,,,Pass,Pass,,
50,1179908,Happy Texas,1999,62724,62724,,,,,,Pass,Pass,,
51,1178264,Stuart Little,1999,54842,54842,,,,,,Pass,Pass,,
52,425954,Butch Cassidy and the Sundance Kid,1969,98729,98729,,,,,,Pass,Pass,,
53,433431,Dracula,1931,66463,66463,,,,,,Pass,Pass,,
77,1380537,Lips of Blood,1975,615106,615106,,,,,,Pass,Pass,,
78,982759971,Cruel Intentions,1999,53172,53172,,,,,,Pass,Pass,,
91,1150893,The Very Thought of You,1998,57943,57943,,,,,,Pass,Pass,,
92,15356,Chandni,1989,837965,837965,,,,,,Pass,Pass,,
94,1135289,Big Daddy,1999,54668,54668,,,,,,Pass,Pass,,
97,425026,Ready to Wear,1994,58611,58611,,,,,,Pass,Pass,,
111,1064722,Goldfinger,1964,63760,63760,,,,,,Pass,Pass,,
290,1086012,Species,1995,67359,67359,,,,,,Pass,Pass,,
292,422951,The Substitute,1996,60774,60774,,,,,,Pass,Pass,,
305,453952,Steamboat Bill Jr.,1928,128728,128728,,,,,,Pass,Pass,,
317,446326,Reality Bites,1994,60038,60038,,,,,,Pass,Pass,,
318,1067225,The Secret of NIMH,1982,72187,72187,,,,,,Pass,Pass,,
324,434990,The Phantom of the Opera,1925,625794,625794,,,,,,Pass,Pass,,
329,425019,The Pallbearer,1996,59982,59982,,,,,,Pass,Pass,,
341,423776,The Object of Beauty,1991,53396,53396,,,,,,Pass,Pass,,
343,422630,The Nutty Professor,1996,72070,72070,,,,,,Pass,Pass,,
345,1083036,Like Water for Chocolate,1992,52017,52017,,,,,,Pass,Pass,,
347,1069568,The Mikado,1939,582781,582781,,,,,,Pass,Pass,,
348,429752,Midnight Cowboy,1969,72135,72135,,,,,,Pass,Pass,,
350,474229,Lionheart,1990,12258608,12258608,,,,,,Pass,Pass,,
359,429723,The Pebble and the Penguin,1995,55975,55975,,,,,,Pass,Pass,,
364,432885,No Way Out,1987,59502,59502,,,,,,Pass,Pass,,
374,1094017,Dark Planet,1997,22059,22059,,,,,,Pass,Pass,,
375,473244,High Voltage,1997,52581,52581,,,,,,Pass,Pass,,
376,1100537,The Mighty,1998,53153,53153,,,,,,Pass,Pass,,
379,464996,I Love You I Love You Not,1996,57791,57791,,,,,,Pass,Pass,,
381,463705,Species II,1998,63231,63231,,,,,,Pass,Pass,,
382,982759615,Deep Impact,1998,58633,58633,,,,,,Pass,Pass,,
387,449957,Scream 2,1997,88388,88388,,,,,,Pass,Pass,,
398,1135301,Trekkies,1997,130929,130929,,,,,,Pass,Pass,,
401,1128292,Life is Beautiful,1997,82809,82809,,,,,,Pass,Pass,,
402,17633155,Cannibal! The Musical,1993,217778,217778,,,,,,Pass,Pass,,
413,451191,Primary Colors,1998,58905,58905,,,,,,Pass,Pass,,
414,450060,Mouse Hunt,1997,54512,54512,,,,,,Pass,Pass,,
420,448926,Cop and a Half,1993,569166,569166,,,,,,Pass,Pass,,
422,432562,Clerks,1994,64783,64783,,,,,,Pass,Pass,,
424,434236,The Crow,1994,57924,57924,,,,,,Pass,Pass,,
425,455137,A Fish Called Wanda,1988,50138,50138,,,,,,Pass,Pass,,
426,462781,Gentleman's Agreement,1947,69714,69714,,,,,,Pass,Pass,,
427,453333,Conan the Destroyer,1984,50450,50450,,,,,,Pass,Pass,,
428,422862,The Dentist,1996,1681,1681,,,,,,Pass,Pass,,
432,422599,Flirting with Disaster,1996,50934,50934,,,,,,Pass,Pass,,
445,1162596,Double Jeopardy,1999,88400,88400,,,,,,Pass,Pass,,
449,422982,First Knight,1995,50245,50245,,,,,,Pass,Pass,,
466,435267,Earth Girls Are Easy,1988,49988,49988,,,,,,Pass,Pass,,
489,424969,The Hunted,1995,51105,51105,,,,,,Pass,Pass,,
506,423841,Godzilla's Revenge,1969,566919,566919,,,,,,Pass,Pass,,
