Vudu_id,Rovi_id,projectx_id_rovi,projectx_id_Vudu,Dev_Vudu_px_mapped,Dev_rovi_px_mapped,another_rovi_id_present,another_Vudu_id_present,variant_present,Comment,Result of mapping
9140,424306,12258279,12258279,,,,,,Pass,Pass
9141,458602,54022,54022,,,,,,Pass,Pass
9142,451192,52769,52769,,,,,,Pass,Pass
9143,458156,77906,77906,,,,,,Pass,Pass
9144,451188,52938,52938,,,,,,Pass,Pass
9145,451196,57195,57195,,,,,,Pass,Pass
9146,428305,49786,49786,,,,,,Pass,Pass
9147,465000,54892,54892,,,,,,Pass,Pass
9148,435596,49801,49801,,,,,,Pass,Pass
9149,450696,21200,75301,"[{'21200': 'rovi_id:424461,Map_reason:{""titleMapType"":""Exact"",""titleScore"":1.0,""releaseDateMatch"":true,""airDateMatch"":false,""ottMatch"":0.0,""creditCount"":16,""totalScore"":0.0,""LanguageMatch"":true,""creditWeight"":0.5}'}, {'source_id': '9149,Map_reason:{""color"":0.0,""language"":0.0,""credits"":1.0,""directors"":0.0,""part_names"":0.0,""episode_titles"":0.0,""genres"":0.0,""amazon"":0.0,""netflix"":0.0,""hulu"":0.0,""hbo"":0.0,""showtime"":0.0,""vudu"":0.0,""episode_airdates"":0.0,""season_count"":0.0,""genres_missing"":1.0,""credits_missing"":0.0,""directors_missing"":1.0,""part_names_missing"":1.0,""release_year"":1.0,""run_time"":0.0,""levenshtein_titles"":1.0,""cosine_titles"":1.0,""partial_titles"":1.0}'}]","[{'21200': 'rovi_id:450696,Map_reason:{""titleMapType"":""Exact"",""titleScore"":1.0,""releaseDateMatch"":false,""airDateMatch"":false,""ottMatch"":0.0,""creditCount"":6,""totalScore"":0.0,""LanguageMatch"":true,""creditWeight"":0.5}'}]",True,,False,Fail,Fail
9150,1058331,59351,59351,,,,,,Pass,Pass
9151,21573637,12269863,12269863,,,,,,Pass,Pass
9152,16852825,84319,84319,,,,,,Pass,Pass
9153,1068556,52597,52597,,,,,,Pass,Pass
9154,427083,59380,59380,,,,,,Pass,Pass
9155,451555,54150,54150,,,,,,Pass,Pass
9156,448718,76015,76015,,,,,,Pass,Pass
9157,460095,57365,57365,,,,,,Pass,Pass
9158,424966,57562,57562,,,,,,Pass,Pass
9159,458086,64768,64768,,,,,,Pass,Pass
9160,447044,71105,71105,,,,,,Pass,Pass
9162,459861,53400,53400,,,,,,Pass,Pass
9163,436363,49839,49839,,,,,,Pass,Pass
9164,465371,571579,571579,,,,,,Pass,Pass
9165,436794,54964,54964,,,,,,Pass,Pass
9166,469877,54975,54975,,,,,,Pass,Pass
9168,1074892,55450,55450,,,,,,Pass,Pass
9169,459037,59086,59086,,,,,,Pass,Pass
9170,466061,60859,60859,,,,,,Pass,Pass
9171,436258,50899,50899,,,,,,Pass,Pass
9172,993374892,51834,51834,,,,,,Pass,Pass
9173,448341,50301,50301,,,,,,Pass,Pass
9174,446674,63763,63763,,,,,,Pass,Pass
9175,462381,59891,59891,,,,,,Pass,Pass
9176,19917692,12269897,12269897,,,,,,Pass,Pass
9177,462130,91070,91070,,,,,,Pass,Pass
9178,430238,54328,54328,,,,,,Pass,Pass
9180,468827,53159,53159,,,,,,Pass,Pass
9182,458413,76938,76938,,,,,,Pass,Pass
9184,17637653,53404,53404,,,,,,Pass,Pass
9186,468713,51032,51032,,,,,,Pass,Pass
9187,468707,65828,65828,,,,,,Pass,Pass
9188,437080,49778,49778,,,,,,Pass,Pass
9189,16881272,12265414,12265414,,,,,,Pass,Pass
9190,1080912,58768,58768,,,,,,Pass,Pass
9191,471713,54523,54523,,,,,,Pass,Pass
9192,471845,54528,54528,,,,,,Pass,Pass
9193,473174,57619,57619,,,,,,Pass,Pass
9194,458583,49794,49794,,,,,,Pass,Pass
9195,1056764,575787,575787,,,,,,Pass,Pass
9196,427836,567232,567232,,,,,,Pass,Pass
9197,426988,52409,52409,,,,,,Pass,Pass
9198,427478,59279,59279,,,,,,Pass,Pass
9199,449812,49790,49790,,,,,,Pass,Pass
9200,430509,50466,50466,,,,,,Pass,Pass
9201,422695,55806,55806,,,,,,Pass,Pass
9202,423068,56302,56302,,,,,,Pass,Pass
9203,1061170,71884,71884,,,,,,Pass,Pass
9204,424550,50511,50511,,,,,,Pass,Pass
9205,422959,59589,59589,,,,,,Pass,Pass
9206,424545,64053,64053,,,,,,Pass,Pass
9207,424912,49436,49436,,,,,,Pass,Pass
9209,424617,66383,66383,,,,,,Pass,Pass
9211,1114329,53069,53069,,,,,,Pass,Pass
9212,1062371,63758,63758,,,,,,Pass,Pass
9213,444719,56878,56878,,,,,,Pass,Pass
9214,1060792,53808,53808,,,,,,Pass,Pass
9215,467396,50457,50457,,,,,,Pass,Pass
9216,17633235,58620,58620,,,,,,Pass,Pass
9217,445832,50154,50154,,,,,,Pass,Pass
9218,472276,51186,51186,,,,,,Pass,Pass
9219,1076197,54889,54889,,,,,,Pass,Pass
9220,454714,56442,56442,,,,,,Pass,Pass
9221,428689,50052,50052,,,,,,Pass,Pass
9230,435353,60112,60112,,,,,,Pass,Pass
9232,469409,63574,63574,,,,,,Pass,Pass
9233,1064471,580107,580107,,,,,,Pass,Pass
9234,447923,57999,57999,,,,,,Pass,Pass
9235,17894321,86106,86106,,,,,,Pass,Pass
9236,466930,53090,53090,,,,,,Pass,Pass
9237,434382,58333,58333,,,,,,Pass,Pass
9238,1054340851,52040,52040,,,,,,Pass,Pass
9240,428227,55220,55220,,,,,,Pass,Pass
9243,1104910,79989,79989,,,,,,Pass,Pass
9248,1034644947,62948,62948,,,,,,Pass,Pass
9249,423157,81836,81836,,,,,,Pass,Pass
