Vudu_id,Rovi_id,projectx_id_rovi,projectx_id_Vudu,Dev_Vudu_px_mapped,Dev_rovi_px_mapped,another_rovi_id_present,another_Vudu_id_present,variant_present,Comment,Result of mapping,hulu_id_present,gb_id_present
364959,14928576,118414,118414,,,,,,Pass,Pass,,
364986,1004258473,113594,113594,,,,,,Pass,Pass,,
364990,12219914,668360,668360,,,,,,Pass,Pass,,
365006,16897539,87525,87525,,,,,,Pass,Pass,,
365136,66293214,787819,787819,,,,,,Pass,Pass,,
365140,21480469,138255,138255,,,,,,Pass,Pass,,
365152,66588459,232159,232159,,,,,,Pass,Pass,,
365156,17661933,743732,743732,,,,,,Pass,Pass,,
365203,19116224,764494,764494,,,,,,Pass,Pass,,
365207,22391104,783327,783327,,,,,,Pass,Pass,,
365211,14255745,125376,125376,,,,,,Pass,Pass,,
365227,21611632,961512,961512,,,,,,Pass,Pass,,
365231,22520386,813940,813940,,,,,,Pass,Pass,,
365235,66260318,128718,128718,,,,,,Pass,Pass,,
365239,18916762,759373,759373,,,,,,Pass,Pass,,
365247,21527710,773664,773664,,,,,,Pass,Pass,,
365251,311190377,798575,798575,,,,,,Pass,Pass,,
365304,22520368,785108,785108,,,,,,Pass,Pass,,
366282,642403656,250479,250479,,,,,,Pass,Pass,,
366289,67702836,793521,793521,,,,,,Pass,Pass,,
366293,67847449,793868,793868,,,,,,Pass,Pass,,
366356,22519108,785146,785146,,,,,,Pass,Pass,,
366364,364402497,241570,241570,,,,,,Pass,Pass,,
366368,467089602,245303,245303,,,,,,Pass,Pass,,
366374,299904480,235836,235836,,,,,,Pass,Pass,,
366378,299904476,13075,13075,,,,,,Pass,Pass,,
366670,298963131,796060,796060,,,,,,Pass,Pass,,
366674,21527627,773641,773641,,,,,,Pass,Pass,,
366682,20021300,772100,772100,,,,,,Pass,Pass,,
366696,22520444,785154,785154,,,,,,Pass,Pass,,
367030,19095775,763941,763941,,,,,,Pass,Pass,,
367095,21792180,127063,127063,,,,,,Pass,Pass,,
367726,66293631,10932,10932,,,,,,Pass,Pass,,
367730,307877301,13214,13214,,,,,,Pass,Pass,,
367773,22172980,103076,103076,,,,,,Pass,Pass,,
367782,982760119,96106,96106,,,,,,Pass,Pass,,
367822,22520463,785167,785167,,,,,,Pass,Pass,,
367834,66260234,109390,109390,,,,,,Pass,Pass,,
367845,22346291,113592,113592,,,,,,Pass,Pass,,
