source,sm_id,id,show_type,movie_title,series_title,episode_title,release_year,link_expired,Projectx_ids,Variant id present for episode,Variant parent id for Episode,Projectx_series_id,comment,Result,id duplicate,Duplicate ids in search,Credit_match,Rovi_id count for duplicate,Gb_id_count for duplicate,Hulu_id count for duplicate,Mapped rovi_id for duplicate,Mapped gb_id for duplicate,Mapped Hulu_id for duplicate,variant parent id present,variant_parent_id,link_fetched_from,Sources of link
Hulu,167184,4391,167184,,Hetalia: Axis Powers,,2009,FALSE,[],,,,"('No multiple ids for this link', 167184, 4391)",No multiple ids for this link,,,,,,,,,,,,,
Hulu,166567,4043,[],,Ouran High School Host Club,,2006,FALSE,"[5508304, 14412224]",,,,Duplicate ids not found in search api,Duplicate ids not found in search api,,[],,,,,,,,Null,[],,
Hulu,166541,4736,166541,,Boys Before Flowers,,2009,FALSE,[8238697],,,,"('No multiple ids for this link', 166541, 4736)",No multiple ids for this link,,,,,,,,,,,,,
Hulu,164665,2418,164665,,21 Jump Street (TV),,1987,FALSE,[2912952],,,,"('No multiple ids for this link', 164665, 2418)",No multiple ids for this link,,,,,,,,,,,,,
Hulu,164276,4482,[],,The Sacred Blacksmith,,2009,FALSE,"[7078933, 14411393]",,,,Duplicate ids not found in search api,Duplicate ids not found in search api,,[],,,,,,,,Null,[],,
Hulu,161533,2297,161533,,Ugly Betty,,2006,FALSE,[2811830],,,,"('No multiple ids for this link', 161533, 2297)",No multiple ids for this link,,,,,,,,,,,,,
Hulu,161291,938,161291,,Angel,,1999,FALSE,[3044079],,,,"('No multiple ids for this link', 161291, 938)",No multiple ids for this link,,,,,,,,,,,,,
Hulu,160772,3962,[],,The Office (U.K.),,2001,FALSE,"[4012113, 14772149]",,,,Duplicate ids not found in search api,Duplicate ids not found in search api,,[],,,,,,,,Null,[],,
Hulu,157862,3639,157862,,Hikaru no Go,,2006,FALSE,[13436923],,,,"('No multiple ids for this link', 157862, 3639)",No multiple ids for this link,,,,,,,,,,,,,
Hulu,160601,23,160601,,Buffy the Vampire Slayer,,1997,FALSE,[2744910],,,,"('No multiple ids for this link', 160601, 23)",No multiple ids for this link,,,,,,,,,,,,,
Hulu,158941,655,158941,,Roswell,,1999,FALSE,[2740225],,,,"('No multiple ids for this link', 158941, 655)",No multiple ids for this link,,,,,,,,,,,,,
Hulu,156332,4532,156332,,Afro Samurai,,2009,FALSE,[5316299],,,,"('No multiple ids for this link', 156332, 4532)",No multiple ids for this link,,,,,,,,,,,,,
Hulu,158670,512,158670,,The X-Files,,1993,FALSE,[2743710],,,,"('No multiple ids for this link', 158670, 512)",No multiple ids for this link,,,,,,,,,,,,,
