GuideBox_sm_id,Rovi_sm_id,projectx_id_rovi,projectx_id_GuideBox,Dev_GuideBox_px_mapped,Dev_rovi_px_mapped,another_rovi_id_present,another_GuideBox_id_present,variant_present,Comment,Result of mapping series
35162,1107114595,8944520,8944520,,,,,,Pass,Pass
35188,332992690,8006164,13489564,[{'sourceId': '35188'}],"[{'rovi_projectx_id_mapped': 'rovi_id:332992690,Map_reason:not found in projectx'}]",,,False,Fail,Fail
35241,1362801579,9270263,9270263,,,,,,Pass,Pass
35276,708589050,3986511,14805995,[{'sourceId': '35276'}],"[{'rovi_projectx_id_mapped': 'rovi_id:708589050,Map_reason:not found in projectx'}]",,,False,Fail,Fail
34457,1822341910,9581616,9581616,,,,,,Pass,Pass
32273,1278881507,9139684,9139684,,,,,,Pass,Pass
32465,1134660772,3733680,3733680,,,,,,Pass,Pass
34656,1295299718,3776612,3776612,,,,,,Pass,Pass
35456,4741680599,10145136,10145136,,,,,,Pass,Pass
35634,3174144661,10138208,10138208,,,,,,Pass,Pass
35110,1268351993,9129031,9129031,,,,,,Pass,Pass
35576,2116246363,3964442,3964442,,,,,,Pass,Pass
29022,1539825797,3839582,3839582,,,,,,Pass,Pass
35329,3177567879,10139092,10139092,,,,,,Pass,Pass
35714,4803542622,11059068,11059068,,,,,,Pass,Pass
33794,1252380531,3754270,3957165,"[{'source_projectx_id_mapped': 'rovi_id:4561032615,Map_reason:not found in projectx'}, {'sourceId': '33794'}]","[{'rovi_projectx_id_mapped': 'rovi_id:1252380531,Map_reason:not found in projectx'}]",True,,False,Fail,Fail
35534,1814439386,3752725,3752725,,,,,,Pass,Pass
36158,3256942366,10240504,10240504,,,,,,Pass,Pass
35633,1217600722,9060783,9060783,,,,,,Pass,Pass
36159,1694831752,2783002,2783002,,,,,,Pass,Pass
36163,3928035806,4001940,4001940,,,,,,Pass,Pass
36166,4741680539,11033304,11033304,,,,,,Pass,Pass
35538,1777967566,9518313,9518313,,,,,,Pass,Pass
36168,3924881442,10466899,13223181,[{'sourceId': '36168'}],"[{'rovi_projectx_id_mapped': 'rovi_id:3924881442,Map_reason:not found in projectx'}]",,,False,Fail,Fail
36156,1930898229,9993319,9993319,,,,,,Pass,Pass
36157,3930488167,10472426,10472426,,,,,,Pass,Pass
36152,1672956152,9466227,9466227,,,,,,Pass,Pass
36153,3206147608,10220415,10220415,,,,,,Pass,Pass
36172,3499185912,10362119,10362119,,,,,,Pass,Pass
36174,4058329730,9398668,9398668,,,,,,Pass,Pass
36175,1980474406,3936326,3936326,,,,,,Pass,Pass
36176,1274699452,9136787,9136787,,,,,,Pass,Pass
36178,1980477126,10069526,10069526,,,,,,Pass,Pass
36179,2001556332,3798577,3798577,,,,,,Pass,Pass
36185,999412154,3721419,3721419,,,,,,Pass,Pass
36188,3310599064,10269632,10269632,,,,,,Pass,Pass
36119,3139935000,10096310,10096310,,,,,,Pass,Pass
35107,1331830365,3788420,3788420,,,,,,Pass,Pass
36126,1913117187,9987758,9987758,,,,,,Pass,Pass
36129,1492470357,9387931,9387931,,,,,,Pass,Pass
36130,3514956183,10377002,10377002,,,,,,Pass,Pass
36131,1777967409,9518273,9518273,,,,,,Pass,Pass
36133,410999,4165879,4165879,,,,,,Pass,Pass
36135,1731774238,9498453,9498453,,,,,,Pass,Pass
36137,1443255787,9339535,9339535,,,,,,Pass,Pass
36138,19319981,7363089,7363089,,,,,,Pass,Pass
36139,1063930809,3474481,3474481,,,,,,Pass,Pass
36140,1230210906,9076751,9076751,,,,,,Pass,Pass
36142,999187123,3721888,3721888,,,,,,Pass,Pass
36143,870726543,8645631,8645631,,,,,,Pass,Pass
36027,21922922,7551660,7551660,,,,,,Pass,Pass
36070,1245055571,3886230,3886230,,,,,,Pass,Pass
26566,643535822,8341650,8341650,,,,,,Pass,Pass
36071,1263055644,9124285,9124285,,,,,,Pass,Pass
36073,969804,3356303,3356303,,,,,,Pass,Pass
32533,708589585,3967764,3967764,,,,,,Pass,Pass
36031,970958416,9513272,9513272,,,,,,Pass,Pass
