GB_id,Movie_name,GB_ReleaseYear,Rovi_id
1325,The Wild Thornberrys Movie,2002,62440
1326,Nicholas Nickleby,2002,70413
1327,The Pianist,2002,116624
1328,Female Perversions,1996,52686
1332,Jane Eyre,1996,61807
1334,Citizen Ruth,1996,61021
1336,The Journey of August King,1995,567201
1337,Roadracers,1994,22265
1338,Ethan Frome,1993,568530
1341,Adaptation.,2002,63544
1343,Hooded Angels,2002,622103
1346,Empire of the Ants,1977,567723
1347,A Kiss Before Dying,1956,73940
1352,Miller's Crossing,1990,50748
1353,Why Didn't They Ask Evans?,1980,394935
1358,Anger Management,2003,64132
1362,Daddy Day Care,2003,81565
1369,Gacy,2003,211430
1370,Howling 3: The Marsupials,1987,206327
1371,Beat Street,1984,568021
1374,Heavens Above!,1963,595272
1375,Full Contact,1992,62281
1380,Behind the Lines,1997,12985896
1381,Basic,2003,64018
1382,Mosquito Squadron,1969,154140
1384,Attack!,1956,122500
1386,Battle of Britain,1969,109746
1388,633 Squadron,1964,571154
1391,Merci Pour Le Chocolat,2000,620220
1392,Bob the Builder: The Knights of Fix-a-Lot,2004,13498439
1396,Sex Is Comedy,2002,629702
1398,Car Wash,1976,81950
1405,Hollywood Homicide,2003,65797
1406,Charlie's Angels: Full Throttle,2003,63879
1407,Jet Lag,2002,63651
1413,Casual Sex?,1988,58954
1416,The Water Babies,1978,568380
1417,Cosi,1996,570293
1418,10 to Midnight,1983,87845
1419,Darkness Falls,2003,63658
1420,God Said Ha!,1998,598216
1423,A Little Sex,1982,567804
1424,Betrayal,2003,64786
1427,Cry the Beloved Country,1995,572977
1428,Paper Soldiers,2002,4410
1431,Sordid Lives,2000,623318
1433,Audition,2000,58239
1435,American Me,1992,52511
1436,Blue in the Face,1995,62317
1439,Children Underground,2001,617150
1440,Otello,1986,580284
1441,Smoke,1995,49835
1442,Pauline at the Beach,1983,106542
1443,The Black Stallion Returns,1983,121673
1447,Identity,2003,89608
1448,The Safety of Objects,2002,91425
1452,North Shore,1987,70283
1457,George Carlin: Playing with Your Head,1986,1104292
1462,Lost in La Mancha,2002,89350
1467,Tears of the Sun,2003,100983
1468,The Hunted,2003,62678
1472,Chattahoochee,1989,72612
1473,Gigli,2003,70430
1474,Pink Floyd: The Dark Side of the Moon,2003,548816
1475,S.W.A.T.,2003,73493
1477,Sleeping with the Enemy,1991,69066
1479,Earthquake,1974,52526
1484,Mimic 3: Sentinel,2003,6038
1485,The Medallion,2003,68377
1487,Venus Boyz,2002,547072
1488,Killing Emmett Young,2002,69176
1489,The Ghoul,1933,169713
1490,Squirm,1976,524182
1492,Love the Hard Way,2003,97974
1493,No Turning Back,2002,71413
1494,Burnt Offerings,1976,163068
1497,Double Indemnity,1944,65993
1504,Rain Man,1988,66390
1505,Joni Mitchell: Woman of Heart and Mind,2003,414920
1506,Duck Soup,1933,74040
1508,Back to School,1986,85636
1512,Brother's Keeper,1992,589029
1514,Horatio's Drive: America's First Road Trip,2003,1109608
1515,Sgt. Pepper's Lonely Hearts Club Band,1978,610738
1517,Monty Python's The Meaning of Life,1983,60629
1520,I.Q.,1994,949740
1523,Mighty Morphin Power Rangers: The Movie,1995,55368
1524,They Made Me a Fugitive,1947,51883
1525,More American Graffiti,1979,72649
1526,The Brave Little Toaster Goes to Mars,1998,186584
1527,Mad Monster Party,1967,515791
1529,The Brave Little Toaster to the Rescue,1997,183192
1530,Latham Entertainment Presents: An All New Comedy Experience,2003,12979674
1531,Regarding Henry,1991,50115
1533,Romantic Comedy,1983,581282
1534,The Shakiest Gun in the West,1968,567023
1536,Border Cop,1980,12979451
1537,Kiss Me Stupid,1964,74837
1539,Revenge of the Ninja,1983,55828
1540,Spliced,2002,3517
1541,Lianna,1983,582816
1542,Bartleby,2001,623200
1550,The 300 Spartans,1962,71110
1552,Rage of Honor,1987,584420
1553,Juggernaut,1974,582177
1555,Catch the Heat,1987,364753
1556,The Private Life of Sherlock Holmes,1970,130757
1558,Ken Burns' America: Thomas Hart Benton,1989,538858
1561,Children of the Revolution,1996,569605
1563,The Big One,1997,121515
1567,Terror in a Texas Town,1958,110315
1569,Intimate Power,1989,586061
1570,Popeye,1980,569656
1571,The Hitcher II: I've Been Waiting,2003,12259865
1572,Zulu,1964,79934
1581,Picture Claire,2001,69721
1583,Camp,2003,101385
1593,Terminator 2: Judgment Day,1991,12258321
1600,My Left Foot,1989,57292
1601,Swimming Pool,2003,65162
1604,Girls Will Be Girls,2003,624693
1615,Wanda Sykes: Tongue Untied,2003,1035395
1617,The Passion of the Christ,2004,64750
1618,The Backyard,2002,546883
1622,Sick,1997,528955
1623,Once Upon a Time in Mexico,2003,86538
1625,Yossi & Jagger,2002,113057
1626,Lost in Translation,2003,74456
1628,Pretenders: Loose in L.A.,2003,1279595
1646,Alice in Wonderland,1951,91177
1649,The Hebrew Hammer,2003,624818
1653,Once Upon a Time in the West,1968,93995
1669,Heat,1986,596572
1681,The Last Laugh,1924,73977
1684,My Sister Maria,2002,12964895
1689,Babar: The Movie,1989,586049
1702,Stanley & Iris,1990,59213
1704,Scream Blacula Scream!,1973,568148
1708,The Wilby Conspiracy,1975,104595
1717,Comic Book: The Movie,2004,191809
1740,The Machinist,2004,87229
1745,Primer,2005,682190
1750,Picture Bride,1995,781099
1751,Classic Albums: Elvis Presley,2001,12964981
1754,Curdled,1996,61819
1755,John Mayall & The Bluesbreakers and Friends: 70th Birthday Concert,2003,12973862
1762,American Heart,1992,61016
1764,The Skulls III,2004,5805
1774,Dead Heat,1988,61282
1781,High Art,1998,61721
1785,Shining Through,1992,64943
1787,Laws of Gravity,1992,93343
1801,The Third Wheel,2002,75256
1802,Little Monsters,1989,54323
1814,Shoeshine,1946,581672
1817,Agatha Christie's Seven Dials Mystery,1981,394415
1818,Map of the Human Heart,1993,12258458
1819,Half Baked,1998,53216
1821,A Room with a View,1985,57787
1822,Going Ape!,1981,566945
1823,Deadly Blessing,1981,52665
1828,Paris Is Burning,1990,519472
1829,Savage Island,2005,550723
1831,Issues 101,2002,200389
1839,The Circuit 2,2003,197479
1843,Return to Horror High,1987,570108
1849,Mere Yaar Ki Shaadi Hai,2002,546868
1852,The Border,1982,116715
1853,Dilwale Dulhania Le Jayenge,1995,764403
1854,Trainspotting,1996,81717
1856,Carolina,2003,191869
1858,Summer School,1987,72417
1862,Kedma,2002,546825
1863,Showboy,2002,959271
1866,Cop Land,1997,52688
1872,The Scarlet Clue,1945,522483
1875,Vanity Fair,2004,67976
1886,The Big Boss,1971,80229
1887,Bright Leaves,2004,548777
1894,Tuff Turf,1985,587174
1895,Undertaking Betty,2002,90382
1901,S21: The Khmer Rouge Killing Machine,2003,548637
1903,Laurel & Hardy: Flying Deuces,1939,57371
1904,K-9: P.I.,2002,5574
1908,Thunderbirds Are GO,1966,586478
1910,After Image,2001,81879
1914,Smokey and the Bandit II,1980,52268
1922,The Invisible Man,1933,73650
1923,Happy Gilmore,1996,55829
1931,Ray Charles: Live at the Montreux Jazz Festival,2002,13498115
1932,Lakshya,2004,632691
1933,The Forgotten,2004,70456
1936,This Happy Breed,1944,583139
1956,Backtrack,1990,76701
1968,Imagining Argentina,2003,80871
2013,Battle Royale,2000,85312
