GB_id,GB_Title,GB_ReleaseYear,Search,Match,GB_AmazonLink,Amazon_Flag,GB_StarzLink,Starz_Flag,GB_NetflixLink,Netflix_flag,GB_NbcLink,Nbc_flag,GB_CBSLink,CBS_flag,GB_VuduLink,Vudu_flag,GB_ItunesLink,Itunes_flag,Ozone_Ott_flag,RoviID,Result
2034,7 Days in September,2002,TRUE,FALSE,"['B005LJBBIA','B005LJBBIA']",FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,['463104693'],FALSE,FALSE,,Couldn't Map
2059,Rubbadubbers: Finbar the Mighty Movie Star,2003,TRUE,FALSE,['B005SFZQJ2'],FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,FALSE,,Couldn't Map
2080,Eddie Izzard: Unrepeatable,1994,TRUE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,['334190391'],FALSE,FALSE,,Couldn't Map
2170,A Life Apart: Hasidism in America,1998,TRUE,FALSE,['B017UPRCGM'],FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,FALSE,,Couldn't Map
2173,Thomas & Friends: Hooray for Thomas,2005,TRUE,FALSE,['B005SG014Q'],FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,FALSE,,Couldn't Map
2188,Nobody Knows,2004,TRUE,FALSE,['B001F751EC'],FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,FALSE,,Couldn't Map
2209,The Life,2003,TRUE,FALSE,['B0010FFD38'],FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,['300607525'],FALSE,FALSE,,Couldn't Map
2225,Bob the Builder: Dizzy's Favorite Adventures,2004,TRUE,FALSE,['B005SFZOBW'],FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,FALSE,,Couldn't Map
2228,Bob the Builder: Lofty's Favorite Adventures,2004,TRUE,FALSE,['B005SG0MZE'],FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,FALSE,,Couldn't Map
2285,Torremolinos 73,2003,TRUE,FALSE,['B00DDEW9F4'],FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,FALSE,,Couldn't Map
2288,5 Dolls for an August Moon,1970,TRUE,FALSE,"['B018RDT3QI','B00B99P3TE']",FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,FALSE,,Couldn't Map
2292,The Sadistic Baron Von Klaus,1962,TRUE,FALSE,['B00CLNVRGA'],FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,FALSE,,Couldn't Map
2300,Kipper: Amazing Discoveries,1997,TRUE,FALSE,['B00AGDW3RY'],FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,FALSE,,Couldn't Map
2318,Angelina Ballerina: The Silver Locket,2002,TRUE,FALSE,['B00DQLWSI2'],FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,['921389257'],FALSE,FALSE,,Couldn't Map
2332,Kipper: Puppy Love,1997,TRUE,FALSE,['B005SFZ20K'],FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,FALSE,,Couldn't Map
2371,Chic: Live at Montreux 2004,2004,TRUE,FALSE,"['B01DSE0JGY','B003OBFUH0']",FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,FALSE,,Couldn't Map
2398,Mandabi,1968,TRUE,FALSE,['B01IO64HQO'],FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,FALSE,,Couldn't Map
